species,year,annual,cumulative,case
Fossil CH4,2106,8.860376740103863e-12,4.885581986049041e-08,GEN
Fossil CH4,2107,8.927869209746766e-12,4.886474772970015e-08,GEN
Fossil CH4,2108,1.0514271042977204e-11,4.887526200074313e-08,GEN
Fossil CH4,2109,5.899321261567288e-12,4.88811613220047e-08,GEN
Fossil CH4,2110,6.248442214444544e-12,4.8887409764219146e-08,GEN
Fossil CH4,2111,6.361057933339519e-12,4.8893770822152486e-08,GEN
Fossil CH4,2112,7.528236954800176e-12,4.8901299059107284e-08,GEN
Fossil CH4,2113,4.19748887622671e-12,4.890549654798351e-08,GEN
Fossil CH4,2114,4.420849692855472e-12,4.8909917397676366e-08,GEN
Fossil CH4,2115,4.532218951763327e-12,4.891444961662813e-08,GEN
Fossil CH4,2116,5.3852900124218896e-12,4.891983490664055e-08,GEN
Fossil CH4,2117,2.9887260672841082e-12,4.892282363270784e-08,GEN
Fossil CH4,2118,3.1303305812298417e-12,4.8925953963289065e-08,GEN
Fossil CH4,2119,3.229181189981651e-12,4.892918314447905e-08,GEN
Fossil CH4,2120,3.852275206988678e-12,4.893303541968604e-08,GEN
Fossil CH4,2121,2.12915944830303e-12,4.893516457913434e-08,GEN
Fossil CH4,2122,2.215349356226532e-12,4.8937379928490566e-08,GEN
Fossil CH4,2123,2.3007739186270584e-12,4.893968070240919e-08,GEN
Fossil CH4,2124,2.1138264530886997e-12,4.894179452886228e-08,GEN
Fossil CO2,2026,4.752927850290924e-09,4.752927850290924e-09,GEN
Fossil CO2,2027,4.8656193633214565e-09,9.618547213612382e-09,GEN
Fossil CO2,2028,1.0076670293169022e-08,1.9695217506781402e-08,GEN
Fossil CO2,2029,1.0102196300036343e-09,2.0705437136785037e-08,GEN
Fossil CO2,2030,4.8276905219355635e-09,2.55331276587206e-08,GEN
Fossil CO2,2031,4.967649987008737e-09,3.0500777645729335e-08,GEN
Fossil CO2,2032,1.05611337442236e-08,4.1061911389952934e-08,GEN
Fossil CO2,2033,1.601635995201473e-09,4.266354738515441e-08,GEN
Fossil CO2,2034,4.935703032383729e-09,4.759925041753814e-08,GEN
Fossil CO2,2035,5.0464627497645484e-09,5.264571316730269e-08,GEN
Fossil CO2,2036,1.0763499890410304e-08,6.340921305771299e-08,GEN
Fossil CO2,2037,1.884479662266285e-09,6.529369271997927e-08,GEN
Fossil CO2,2038,4.921622783248104e-09,7.021531550322738e-08,GEN
Fossil CO2,2039,4.9819783283867286e-09,7.519729383161411e-08,GEN
Fossil CO2,2040,1.0551930483231329e-08,8.574922431484543e-08,GEN
Fossil CO2,2041,1.9167314938891444e-09,8.766595580873459e-08,GEN
Fossil CO2,2042,4.75829025916242e-09,9.2424246067897e-08,GEN
Fossil CO2,2043,4.800683643091221e-09,9.722492971098823e-08,GEN
Fossil CO2,2044,1.0180891184105374e-08,1.074058208950936e-07,GEN
Fossil CO2,2045,1.875010045008957e-09,1.0928083094010255e-07,GEN
Fossil CO2,2046,4.597238816164081e-09,1.1387806975626664e-07,GEN
Fossil CO2,2047,4.638045390429425e-09,1.1851611514669606e-07,GEN
Fossil CO2,2048,9.85386878740282e-09,1.2836998393409888e-07,GEN
Fossil CO2,2049,1.829923389983732e-09,1.301999073240826e-07,GEN
Fossil CO2,2050,4.4583340611891645e-09,1.3465824138527179e-07,GEN
Fossil CO2,2051,4.5348692165435405e-09,1.3919311060181532e-07,GEN
Fossil CO2,2052,9.6380677468717e-09,1.4883117834868702e-07,GEN
Fossil CO2,2053,1.8195818795580491e-09,1.5065076022824506e-07,GEN
Fossil CO2,2054,4.338016429185875e-09,1.5498877665743094e-07,GEN
Fossil CO2,2055,4.40962186394776e-09,1.593983985213787e-07,GEN
Fossil CO2,2056,9.401812219930436e-09,1.6880021074130912e-07,GEN
Fossil CO2,2057,1.7891617905192303e-09,1.7058937253182837e-07,GEN
Fossil CO2,2058,4.239935380412342e-09,1.748293079122407e-07,GEN
Fossil CO2,2059,4.3042576248913315e-09,1.7913356553713205e-07,GEN
Fossil CO2,2060,9.18940031197139e-09,1.8832296584910343e-07,GEN
Fossil CO2,2061,4.346268474884473e-09,1.926692343239879e-07,GEN
Fossil CO2,2062,1.783661019536606e-09,1.944528953435245e-07,GEN
Fossil CO2,2063,4.199804357632827e-09,1.9865269970115735e-07,GEN
Fossil CO2,2064,8.800366918595919e-09,2.0745306661975325e-07,GEN
Fossil CO2,2065,4.438607779847592e-09,2.1189167439960085e-07,GEN
Fossil CO2,2066,1.74841467048285e-09,2.136400890700837e-07,GEN
Fossil CO2,2067,4.106491750288666e-09,2.1774658082037236e-07,GEN
Fossil CO2,2068,8.494341179597679e-09,2.2624092199997004e-07,GEN
Fossil CO2,2069,4.481125786850732e-09,2.3072204778682077e-07,GEN
Fossil CO2,2070,1.7171134608372155e-09,2.32439161247658e-07,GEN
Fossil CO2,2071,4.029082995990588e-09,2.3646824424364859e-07,GEN
Fossil CO2,2072,8.277610031072771e-09,2.4474585427472133e-07,GEN
Fossil CO2,2073,4.47938266169147e-09,2.492252369364128e-07,GEN
Fossil CO2,2074,1.689259888629326e-09,2.5091449682504214e-07,GEN
Fossil CO2,2075,3.95216290650325e-09,2.548666597315454e-07,GEN
Fossil CO2,2076,7.693674741333203e-09,2.6256033447287857e-07,GEN
Fossil CO2,2077,4.231813873007622e-09,2.667921483458862e-07,GEN
Fossil CO2,2078,1.4705629795919015e-09,2.682627113254781e-07,GEN
Fossil CO2,2079,3.857966315429414e-09,2.7212067764090753e-07,GEN
Fossil CO2,2080,7.563484973034374e-09,2.796841626139419e-07,GEN
Fossil CO2,2081,4.176994771743376e-09,2.838611573856853e-07,GEN
Fossil CO2,2082,1.452411905763164e-09,2.8531356929144845e-07,GEN
Fossil CO2,2083,3.777558756532305e-09,2.8909112804798073e-07,GEN
Fossil CO2,2084,7.428033899050522e-09,2.9651916194703126e-07,GEN
Fossil CO2,2085,4.115710691851247e-09,3.0063487263888255e-07,GEN
Fossil CO2,2086,1.4486276006000559e-09,3.020835002394826e-07,GEN
Fossil CO2,2087,3.686823707405399e-09,3.05770323946888e-07,GEN
Fossil CO2,2088,7.297331285818747e-09,3.1306765523270674e-07,GEN
Fossil CO2,2089,4.055293437849723e-09,3.1712294867055646e-07,GEN
Fossil CO2,2090,1.4249274803646122e-09,3.185478761509211e-07,GEN
Fossil CO2,2091,3.6261284799263516e-09,3.221740046308474e-07,GEN
Fossil CO2,2092,7.170514906704858e-09,3.2934451953755225e-07,GEN
Fossil CO2,2093,3.998527133245267e-09,3.3334304667079756e-07,GEN
Fossil CO2,2094,3.6026296622532604e-09,3.369456763330508e-07,GEN
Fossil CO2,2095,1.5541085377990027e-09,3.384997848708498e-07,GEN
Fossil CO2,2096,6.868395614945111e-09,3.4536818048579493e-07,GEN
Fossil CO2,2097,3.946130926028789e-09,3.493143114118237e-07,GEN
Fossil CO2,2098,3.702145599078647e-09,3.5301645701090235e-07,GEN
Fossil CO2,2099,1.5166878217654519e-09,3.545331448326678e-07,GEN
Fossil CO2,2100,3.4241777839209967e-09,3.579573226165888e-07,GEN
Fossil CO2,2101,3.477152337816295e-09,3.6143447495440507e-07,GEN
Fossil CO2,2102,3.635400470480603e-09,3.650698754248857e-07,GEN
Fossil CO2,2103,3.899367864251591e-09,3.689692432891373e-07,GEN
Fossil CO2,2104,4.690023451391728e-09,3.73659266740529e-07,GEN
Fossil CO2,2105,3.412330522590006e-09,3.7707159726311903e-07,GEN
Fossil CO2,2106,3.518425926697077e-09,3.805900231898161e-07,GEN
Fossil CO2,2107,3.8486252118075995e-09,3.844386484016237e-07,GEN
Fossil CO2,2108,4.669943318158221e-09,3.891085917197819e-07,GEN
Fossil CO2,2109,3.354999034449658e-09,3.9246359075423155e-07,GEN
Fossil CO2,2110,3.449254126638565e-09,3.9591284488087016e-07,GEN
Fossil CO2,2111,3.80156936609868e-09,3.997144142469688e-07,GEN
Fossil CO2,2112,4.628094965916866e-09,4.0434250921288567e-07,GEN
Fossil CO2,2113,3.313727183416504e-09,4.076562363963022e-07,GEN
Fossil CO2,2114,3.396312981681533e-09,4.1105254937798374e-07,GEN
Fossil CO2,2115,3.7578468026385254e-09,4.1481039618062226e-07,GEN
Fossil CO2,2116,4.584112156920364e-09,4.193945083375426e-07,GEN
Fossil CO2,2117,3.276612262027672e-09,4.226711205995703e-07,GEN
Fossil CO2,2118,3.350852298598849e-09,4.260219728981691e-07,GEN
Fossil CO2,2119,3.717132574219915e-09,4.297391054723891e-07,GEN
Fossil CO2,2120,4.541164851087445e-09,4.342802703234765e-07,GEN
Fossil CO2,2121,3.242563662237632e-09,4.3752283398571413e-07,GEN
Fossil CO2,2122,3.309863587562093e-09,4.4083269757327624e-07,GEN
Fossil CO2,2123,3.6791321434431533e-09,4.445118297167194e-07,GEN
Fossil CO2,2124,3.6700243569915918e-09,4.4818185407371096e-07,GEN
N2O,2026,9.904663349714167e-11,9.904663349714167e-11,GEN
N2O,2027,9.974582660153359e-11,1.9879246009867525e-10,GEN
N2O,2028,2.0117816297203308e-10,3.9997062307070835e-10,GEN
N2O,2029,4.437133385134087e-12,4.0440775645584246e-10,GEN
N2O,2030,9.964050379897084e-11,5.040482602548132e-10,GEN
N2O,2031,1.0003913305824239e-10,6.040873933130556e-10,GEN
N2O,2032,2.0213865567056088e-10,8.062260489836165e-10,GEN
N2O,2033,7.56886534574887e-12,8.137949143293654e-10,GEN
N2O,2034,9.906393699439572e-11,9.128588513237612e-10,GEN
N2O,2035,9.916929552144152e-11,1.0120281468452027e-09,GEN
N2O,2036,2.0037501330709876e-10,1.2124031601523014e-09,GEN
N2O,2037,9.44225846402224e-12,1.2218454186163236e-09,GEN
N2O,2038,9.735907983476884e-11,1.3192044984510925e-09,GEN
N2O,2039,9.717819819870338e-11,1.416382696649796e-09,GEN
N2O,2040,1.9609995266049371e-10,1.6124826493102896e-09,GEN
N2O,2041,1.0217547186488984e-11,1.6227001964967785e-09,GEN
N2O,2042,9.476062942506287e-11,1.7174608259218413e-09,GEN
N2O,2043,9.44575026426662e-11,1.8119183285645075e-09,GEN
N2O,2044,1.9043771962367464e-10,2.002356048188182e-09,GEN
N2O,2045,1.0410297741889148e-11,2.0127663459300716e-09,GEN
N2O,2046,9.185695489159144e-11,2.104623300821663e-09,GEN
N2O,2047,9.152548730682496e-11,2.196148788128488e-09,GEN
N2O,2048,1.8459404285698512e-10,2.380742830985473e-09,GEN
N2O,2049,1.0455201140372187e-11,2.391198032125845e-09,GEN
N2O,2050,8.894938463334025e-11,2.4801474167591854e-09,GEN
N2O,2051,8.944298140582415e-11,2.5695903981650096e-09,GEN
N2O,2052,1.8044070597940548e-10,2.750031104144415e-09,GEN
N2O,2053,1.1244937211079876e-11,2.761276041355495e-09,GEN
N2O,2054,8.609833158253665e-11,2.8473743729380315e-09,GEN
N2O,2055,8.657004963143238e-11,2.933944422569464e-09,GEN
N2O,2056,1.7494644262457262e-10,3.1088908651940363e-09,GEN
N2O,2057,1.127977234416028e-11,3.1201706375381967e-09,GEN
N2O,2058,8.343447036488249e-11,3.203605107903079e-09,GEN
N2O,2059,8.379032765892886e-11,3.287395435562008e-09,GEN
N2O,2060,1.6943543409357323e-10,3.4568308696555813e-09,GEN
N2O,2061,8.239821137532867e-11,3.5392290810309103e-09,GEN
N2O,2062,1.073194970568073e-11,3.549961030736591e-09,GEN
N2O,2063,8.104158611708629e-11,3.631002616853677e-09,GEN
N2O,2064,1.6303954056733938e-10,3.794042157421016e-09,GEN
N2O,2065,8.070973048604723e-11,3.874751887907064e-09,GEN
N2O,2066,1.0614615603481857e-11,3.885366503510545e-09,GEN
N2O,2067,7.839083924801579e-11,3.963757342758561e-09,GEN
N2O,2068,1.5715396355259218e-10,4.120911306311153e-09,GEN
N2O,2069,7.880327795431688e-11,4.19971458426547e-09,GEN
