year,annual,cumulative,case
2101,4.2927077487910295e-09,4.915198619765608e-07,GEN
2102,4.549495431509072e-09,4.960693574080699e-07,GEN
2103,4.829574919360289e-09,5.008989323274302e-07,GEN
2104,5.784692654790039e-09,5.066836249822202e-07,GEN
2105,4.206586492775254e-09,5.108902114749954e-07,GEN
2106,4.389259895166706e-09,5.152794713701621e-07,GEN
2107,4.758846923971493e-09,5.200383182941336e-07,GEN
2108,5.775703194000665e-09,5.258140214881343e-07,GEN
2109,4.1324478106985355e-09,5.299464692988329e-07,GEN
2110,4.269813995733868e-09,5.342162832945668e-07,GEN
2111,4.694325408904613e-09,5.389106087034714e-07,GEN
2112,5.73522323524956e-09,5.446458319387209e-07,GEN
2113,4.074338436835864e-09,5.487201703755568e-07,GEN
2114,4.183089559685104e-09,5.529032599352419e-07,GEN
2115,4.635141296731984e-09,5.575384012319739e-07,GEN
2116,5.684135784056334e-09,5.632225370160302e-07,GEN
2117,4.022698941531155e-09,5.672452359575614e-07,GEN
2118,4.115404973811621e-09,5.71360640931373e-07,GEN
2119,4.580583698594033e-09,5.75941224629967e-07,GEN
2120,5.628959441586495e-09,5.815701840715534e-07,GEN
2121,3.9773549330132345e-09,5.855475390045667e-07,GEN
2122,4.058478847220848e-09,5.896060178517875e-07,GEN
2123,4.530065748188595e-09,5.941360835999761e-07,GEN
2124,4.518008265744806e-09,5.986540918657209e-07,GEN
2026,5.060849730227879e-10,5.060849730227879e-10,REF
2027,2.1020717931106916e-09,2.6081567661334796e-09,REF
2028,8.312993814410717e-09,1.0921150580544197e-08,REF
2029,4.089307995209861e-09,1.5010458575754056e-08,REF
2030,4.408405864724388e-09,1.9418864440478444e-08,REF
2031,5.555114068792487e-09,2.4973978509270932e-08,REF
2032,1.5147233510874242e-08,4.012121202014518e-08,REF
2033,6.658269497124365e-09,4.6779481517269544e-08,REF
2034,6.812132447184861e-09,5.3591613964454405e-08,REF
2035,7.63583887748957e-09,6.122745284194397e-08,REF
2036,1.9142502589170232e-08,8.03699554311142e-08,REF
2037,8.151805326417108e-09,8.85217607575313e-08,REF
2038,8.15309628813346e-09,9.667485704566476e-08,REF
2039,8.722426265780889e-09,1.0539728331144565e-07,REF
2040,2.1022731101656612e-08,1.2642001441310224e-07,REF
2041,8.821853618276927e-09,1.3524186803137917e-07,REF
2042,8.711084350413583e-09,1.4395295238179275e-07,REF
2043,9.128350717589741e-09,1.530813030993825e-07,REF
2044,2.170366331683943e-08,1.7478496641622193e-07,REF
2045,9.078819582668502e-09,1.8386378599889042e-07,REF
2046,9.0021606756326e-09,1.92865946674523e-07,REF
2047,9.324395063493957e-09,2.0219034173801695e-07,REF
2048,2.1983716506166907e-08,2.2417405824418385e-07,REF
2049,9.1394693198733e-09,2.3331352756405716e-07,REF
2050,9.034056972878794e-09,2.4234758453693595e-07,REF
2051,9.305767334449427e-09,2.516533518713854e-07,REF
2052,2.1919609364567568e-08,2.7357296123595297e-07,REF
2053,9.142591161404835e-09,2.827155523973578e-07,REF
2054,9.058835939567979e-09,2.917743883369258e-07,REF
2055,9.33271162348132e-09,3.0110709996040713e-07,REF
2056,2.2023856158419457e-08,3.231309561188266e-07,REF
2057,9.216084294536499e-09,3.323470404133631e-07,REF
2058,9.151058741163056e-09,3.4149809915452615e-07,REF
2059,9.428195199686318e-09,3.509262943542125e-07,REF
2060,2.2281429568908118e-08,3.732077239231206e-07,REF
2061,9.552368709049052e-09,3.8276009263216963e-07,REF
2062,9.661958092633435e-09,3.9242205072480306e-07,REF
2063,9.55099506639585e-09,4.019730457911989e-07,REF
2064,2.2097685044688508e-08,4.240707308358874e-07,REF
2065,1.0212583576784046e-08,4.3428331441267143e-07,REF
2066,9.883667539455684e-09,4.441669819521271e-07,REF
2067,9.782339732677107e-09,4.539493216848042e-07,REF
2068,2.2237711732142107e-08,4.761870334169463e-07,REF
2069,1.0784093579984123e-08,4.869711269969304e-07,REF
2070,1.003454798477613e-08,4.970056749817065e-07,REF
2071,9.947482879517372e-09,5.069531578612239e-07,REF
2072,2.2375217687693073e-08,5.29328375548917e-07,REF
2073,1.1265188438822576e-08,5.405935639877396e-07,REF
2074,1.0211376120196407e-08,5.50804940107936e-07,REF
2075,1.0135179460352946e-08,5.60940119568289e-07,REF
2076,2.226117838719393e-08,5.832012979554829e-07,REF
2077,1.1297872987463539e-08,5.944991709429464e-07,REF
2078,9.674575263391177e-09,6.041737462063377e-07,REF
2079,9.259630688314937e-09,6.134333768946526e-07,REF
2080,2.0188720080082836e-08,6.336220969747354e-07,REF
2081,1.0734399653511335e-08,6.443564966282467e-07,REF
2082,8.959164903928554e-09,6.533156615321752e-07,REF
2083,8.634343629357191e-09,6.619500051615325e-07,REF
2084,1.869082801073444e-08,6.806408331722669e-07,REF
2085,1.0294986657186905e-08,6.909358198294538e-07,REF
2086,8.451827861936157e-09,6.993876476913899e-07,REF
2087,8.16882906676859e-09,7.075564767581585e-07,REF
2088,1.7553309193900983e-08,7.251097859520595e-07,REF
2089,9.9700511801918e-09,7.350798371322513e-07,REF
2090,8.064310226222173e-09,7.431441473584734e-07,REF
2091,7.805995311822405e-09,7.509501426702958e-07,REF
2092,1.6647004550976236e-08,7.67597147221272e-07,REF
2093,9.729491434965482e-09,7.773266386562375e-07,REF
2094,7.926177291359375e-09,7.852528159475969e-07,REF
2095,7.808272954751259e-09,7.930610889023482e-07,REF
2096,1.5440586348840824e-08,8.08501675251189e-07,REF
2097,9.55089476448794e-09,8.180525700156769e-07,REF
2098,8.07586054371813e-09,8.261284305593951e-07,REF
2099,7.547699402805847e-09,8.336761299622009e-07,REF
2100,7.4389865408099294e-09,8.411151165030108e-07,REF
2101,7.758488980763274e-09,8.488736054837741e-07,REF
2102,8.967497379921302e-09,8.578411028636953e-07,REF
2103,9.663428862066857e-09,8.675045317257622e-07,REF
2104,1.2756904604121994e-08,8.802614363298841e-07,REF
2105,7.403033481209582e-09,8.876644698110937e-07,REF
2106,8.470786272621107e-09,8.961352560837148e-07,REF
2107,9.431457763745541e-09,9.055667138474603e-07,REF
2108,1.2811444674139221e-08,9.183781585215995e-07,REF
2109,7.084848129244366e-09,9.254630066508439e-07,REF
2110,8.090411059924996e-09,9.335534177107689e-07,REF
2111,9.232384275669825e-09,9.427858019864387e-07,REF
2112,1.2716640274760281e-08,9.55502442261199e-07,REF
2113,6.932510994579445e-09,9.624349532557785e-07,REF
2114,7.781010617152682e-09,9.702159638729312e-07,REF
2115,9.05917725982675e-09,9.79275141132758e-07,REF
2116,1.2617462237238113e-08,9.918926033699962e-07,REF
2117,6.802567399441842e-09,9.98695170769438e-07,REF
2118,7.522884732281288e-09,1.0062180555017194e-06,REF
2119,8.906615955722911e-09,1.0151246714574423e-06,REF
2120,1.2522729765963871e-08,1.0276474012234062e-06,REF
2121,6.692222966491622e-09,1.034339624189898e-06,REF
2122,7.2964195465918175e-09,1.0416360437364897e-06,REF
2123,8.770773276396972e-09,1.0504068170128867e-06,REF
2124,8.739057751663603e-09,1.0591458747645503e-06,REF
